GEOID,Median_Housing_Price_2020
1400000US06037101110,502200
1400000US06037101122,658800
1400000US06037101220,550800
1400000US06037101221,461600
1400000US06037101222,378400
1400000US06037101300,643200
1400000US06037101400,554300
1400000US06037102103,658200
1400000US06037102104,630200
1400000US06037102105,545400
1400000US06037102107,698600
1400000US06037103101,596200
1400000US06037103102,503200
1400000US06037103201,510300
1400000US06037103202,722200
1400000US06037103300,744600
1400000US06037103401,572200
1400000US06037103402,619100
1400000US06037104103,483400
1400000US06037104105,358500
1400000US06037104108,429800
1400000US06037104124,483900
1400000US06037104201,450200
1400000US06037104203,426100
1400000US06037104204,406800
1400000US06037104310,443000
1400000US06037104321,468000
1400000US06037104322,456300
1400000US06037104401,441600
1400000US06037104403,437700
1400000US06037104404,471900
1400000US06037104500,441100
1400000US06037104610,439900
1400000US06037104620,450700
1400000US06037104701,439200
1400000US06037104703,433600
1400000US06037104704,197900
1400000US06037104821,434800
1400000US06037104822,472800
1400000US06037104823,427900
1400000US06037104824,488300
1400000US06037106010,552100
1400000US06037106020,547500
1400000US06037106111,5e+05
1400000US06037106112,515200
1400000US06037106113,483700
1400000US06037106114,422000
1400000US06037106403,476900
1400000US06037106405,370300
1400000US06037106406,398300
1400000US06037106407,265200
1400000US06037106408,381800
1400000US06037106510,550300
1400000US06037106520,441100
1400000US06037106603,808200
1400000US06037106604,518600
1400000US06037106641,746500
1400000US06037106642,657900
1400000US06037106643,905400
1400000US06037106645,726300
1400000US06037106646,608800
1400000US06037106648,462600
1400000US06037106649,583800
1400000US06037107010,461400
1400000US06037107020,438300
1400000US06037108101,799300
1400000US06037108102,711500
1400000US06037108103,885800
1400000US06037108104,822200
1400000US06037108202,871800
1400000US06037108203,716900
1400000US06037108204,765900
1400000US06037109100,428800
1400000US06037109200,585600
1400000US06037109300,577700
1400000US06037109400,440900
1400000US06037109500,516000
1400000US06037109601,555500
1400000US06037109603,543800
1400000US06037109604,536400
1400000US06037109700,6e+05
1400000US06037109800,582100
1400000US06037111100,591500
1400000US06037111201,674700
1400000US06037111202,625700
1400000US06037111204,850700
1400000US06037111205,539800
1400000US06037111206,720800
1400000US06037111302,635700
1400000US06037111303,599000
1400000US06037111304,NA
1400000US06037111401,605100
1400000US06037111402,591100
1400000US06037113101,690500
1400000US06037113102,945000
1400000US06037113211,542600
1400000US06037113212,602500
1400000US06037113213,580900
1400000US06037113231,769700
1400000US06037113232,699000
1400000US06037113234,297200
1400000US06037113235,563700
1400000US06037113237,781300
1400000US06037113238,381600
1400000US06037113239,125900
1400000US06037113301,873600
1400000US06037113303,585200
1400000US06037113322,670700
1400000US06037113323,461100
1400000US06037113324,366400
1400000US06037113423,578800
1400000US06037113424,609900
1400000US06037113425,409700
1400000US06037113426,611400
1400000US06037113427,367500
1400000US06037113428,572500
1400000US06037115101,883500
1400000US06037115103,NA
1400000US06037115104,479800
1400000US06037115202,578200
1400000US06037115203,871400
1400000US06037115204,597700
1400000US06037115301,685500
1400000US06037115302,594400
1400000US06037115401,720900
1400000US06037115403,602200
1400000US06037115404,581600
1400000US06037117101,477300
1400000US06037117102,557600
1400000US06037117201,525700
1400000US06037117202,595100
1400000US06037117301,611400
1400000US06037117302,605500
1400000US06037117303,599000
1400000US06037117404,628200
1400000US06037117405,274200
1400000US06037117407,NA
1400000US06037117408,439100
1400000US06037117510,348200
1400000US06037117520,375700
1400000US06037117530,379900
1400000US06037119001,497700
1400000US06037119003,467200
1400000US06037119004,531100
1400000US06037119201,493900
1400000US06037119202,457200
1400000US06037119310,358000
1400000US06037119320,416700
1400000US06037119340,NA
1400000US06037119341,378200
1400000US06037119342,334300
1400000US06037119400,487800
1400000US06037119700,574600
1400000US06037119801,468800
1400000US06037119802,489000
1400000US06037119900,467000
1400000US06037120010,467600
1400000US06037120020,492000
1400000US06037120030,484500
1400000US06037120103,440600
1400000US06037120104,441500
1400000US06037120105,452400
1400000US06037120106,NA
1400000US06037120107,407700
1400000US06037120108,316000
1400000US06037120300,474700
1400000US06037120400,496400
1400000US06037121010,548100
1400000US06037121020,573700
1400000US06037121101,492400
1400000US06037121102,542800
1400000US06037121210,495600
1400000US06037121221,522000
1400000US06037121222,556000
1400000US06037121600,581500
1400000US06037121801,545400
1400000US06037121802,547600
1400000US06037121900,583500
1400000US06037122000,572700
1400000US06037122120,516600
1400000US06037122121,457800
1400000US06037122122,408100
1400000US06037122200,491100
1400000US06037122410,391700
1400000US06037122420,540600
1400000US06037123010,499600
1400000US06037123020,426300
1400000US06037123103,539600
1400000US06037123104,638300
1400000US06037123203,608100
1400000US06037123204,605800
1400000US06037123205,491800
1400000US06037123206,475500
1400000US06037123301,477600
1400000US06037123303,586900
1400000US06037123304,633200
1400000US06037123410,595600
1400000US06037123420,588200
1400000US06037123510,672300
1400000US06037123520,645400
1400000US06037123601,647400
1400000US06037123602,796400
1400000US06037123700,632600
1400000US06037123800,835900
1400000US06037123901,680400
1400000US06037123902,701300
1400000US06037124000,988000
1400000US06037124102,782700
1400000US06037124103,654800
1400000US06037124104,635400
1400000US06037124105,535900
1400000US06037124201,614100
1400000US06037124203,653300
1400000US06037124204,282400
1400000US06037124300,675000
1400000US06037124400,898800
1400000US06037124500,862400
1400000US06037124600,858700
1400000US06037124700,990000
1400000US06037124902,804800
1400000US06037124903,528900
1400000US06037125101,598300
1400000US06037125102,1155400
1400000US06037125200,803100
1400000US06037125310,781900
1400000US06037125321,479500
1400000US06037125322,NA
1400000US06037125402,659000
1400000US06037125403,384700
1400000US06037125404,NA
1400000US06037125501,686300
1400000US06037125502,672500
1400000US06037125600,1011800
1400000US06037127102,4e+05
1400000US06037127103,342900
1400000US06037127104,538700
1400000US06037127210,503100
1400000US06037127220,508900
1400000US06037127300,563800
1400000US06037127400,490900
1400000US06037127520,264500
1400000US06037127603,551200
1400000US06037127604,482800
1400000US06037127605,592100
1400000US06037127606,555800
1400000US06037127711,648800
1400000US06037127712,626300
1400000US06037127803,571900
1400000US06037127804,556600
1400000US06037127805,594500
1400000US06037127806,529100
1400000US06037127910,546100
1400000US06037127920,584000
1400000US06037128101,608000
