GEOID,MedianSqFtVal_0100_Land,MedianSqFtVal_0101_Land,MedianSqFtVal_010C_Land,MedianSqFtVal_0200_Land,MedianSqFtVal_0300_Land,MedianSqFtVal_0400_Land,MedianSqFtVal_0500_Land,MedianSqFtVal_010E_Land,MedianSqFtVal_010D_Land
1400000US06037106646,160.5272913,178.8519994,,167.1488846,,,,,
1400000US06037106648,106.0797048,109.1495754,,80.1674862,73.60905009,,43.29725088,,
1400000US06037106649,102.8513623,82.03547401,,120.1718989,47.14695047,,,,
1400000US06037107010,119.8940084,147.0430445,,79.69885057,145.813161,15.40641509,,,
1400000US06037107020,124.9679821,130.2196181,84.48600311,97.37553719,141.1813031,96.88632619,67.07000806,,89.4872279
1400000US06037108101,182.1111111,164.9979005,,,,,,,
1400000US06037108102,146.3925158,150.3576113,111.5720497,,,,,,99.94567277
1400000US06037108103,147.5172316,140.5201975,,,,,,,109.7175629
1400000US06037108104,145.2216749,169.5752733,,,,,,,
1400000US06037108202,207.277929,123.7659817,158.1002994,,,,1.65981812,,159.6160961
1400000US06037108203,100.2805045,151.4836396,,,,,,,174.8989526
1400000US06037108204,142.3584575,116.3432891,,,,,,,150.9688825
1400000US06037109100,131.5508298,119.8268165,,3036.002662,,,,,
1400000US06037109200,153.6753821,160.3890052,116.6143233,106.7166494,,109.3406949,,,
1400000US06037109300,151.424392,153.4220601,83.18570923,,,,,,
1400000US06037109400,115.7961642,130.5851305,73.883821,79.24179603,43.18698061,50.6772229,160.3171147,,97.6202346
1400000US06037109500,93.60536612,75.76107595,54.39526718,58.96124031,61.11750103,15.09340659,180.416185,,
1400000US06037109601,116.6706021,133.3146922,,166.711976,38.73308152,,,,
1400000US06037109603,124.908295,119.495345,115.6918189,78.83337153,,,77.4281098,,
1400000US06037109604,115.577147,137.4802904,82.58758109,122.5708738,70.31495438,,45.95821401,,
1400000US06037109700,161.6664233,131.5810627,110.6594632,158.3777856,,,,125.1750988,
1400000US06037109800,156.9747403,158.6418787,113.2750425,184.8802345,221.0801587,,9.032691093,,
1400000US06037111100,162.3451327,156.5102273,,,,,,,
1400000US06037111201,153.4968765,153.2104693,73.48684119,,,,,,
1400000US06037111202,166.0017585,163.5976771,115.1631812,120.0343369,47.87061767,66.86353211,42.04832485,106.5339643,
1400000US06037111204,126.9175095,138.5326123,,,,,,,inf
1400000US06037111205,140.8024429,160.5052202,108.825503,79.39975845,87.01825554,,,99.09457501,
1400000US06037111206,145.033538,168.9761685,,,,,,,
1400000US06037111302,157.8529349,152.413363,119.2374558,41.47597103,,,43.9701416,,
1400000US06037111303,159.5125723,165.5223109,117.0142377,123.9090383,73.02024329,139.5596264,66.89782409,,
1400000US06037111304,,,102.612924,,,,82.96148413,,
1400000US06037111401,143.6729598,139.3188235,,,145.835349,,106.1506751,,
1400000US06037111402,133.9758125,143.2922247,105.8329756,,,,36.23026469,,
1400000US06037113101,153.2551957,150.8673193,,111.4087826,,,,,238.2115534
1400000US06037113102,155.858301,130.9343751,,,,,,,141.0395028
1400000US06037113211,127.75756,125.8110057,129.1374502,421.1467391,,,,,
1400000US06037113212,155.6658,138.3755656,97.76340487,109.9182649,,,62.38484428,,
1400000US06037113213,162.4996451,151.2580645,117.0327075,67.1823273,,46.48866422,81.75363934,138.8092883,
1400000US06037113231,153.3149001,150.5350711,,23.3180212,,,13.99501771,,158.6725559
1400000US06037113232,175.8803127,162.9299807,,235.7346774,,,,,
1400000US06037113234,134.4113224,160.5916707,95.37520894,32.30233885,,260.4166667,54.51370079,27.34603175,
1400000US06037113235,146.1148338,143.5575842,,106.6927381,,,,,
1400000US06037113237,132.1375,134.5353611,107.0178891,174.2963092,,,36.12829357,,
1400000US06037113238,190.7642628,176.9280949,100.4336735,,,,70.62977387,,
1400000US06037113239,,,,,,,30.41009148,,
1400000US06037113301,115.0265776,136.6574504,99.45692308,,,,,,
1400000US06037113303,188.8696809,176.9007042,,,,,,,
1400000US06037113322,148.7695603,150.4997873,127.7064807,64.6863194,,,64.96254534,,
1400000US06037113323,157.1254928,142.6419037,131.9055376,96.72150611,,,37.09551216,103.4972558,
1400000US06037113324,133.5315776,,141.0114788,,,65.99405277,168.2859762,,
1400000US06037113423,149.8009219,187.0080031,104.7607735,,156.6896255,,55.57830189,,
1400000US06037113424,151.4198564,168.7411348,,198.489818,,,60.53721906,,
1400000US06037113425,,,109.8910473,,,,20.08226357,83.66136364,
1400000US06037113426,143.5525178,183.2361192,,,,,,,
1400000US06037113427,132.1309145,130.5058594,111.223458,,,97.0239094,58.21362947,169.0343602,
1400000US06037113428,131.3288657,165.9238579,69.74203114,204.2191265,,89.76729291,,,
1400000US06037115101,146.0545704,136.5864119,118.4969388,168.0046595,,,4.602241522,,138.5049751
1400000US06037115103,,,,,,,,,
1400000US06037115104,154.4579674,154.1493135,152.4946237,,,,105.6493855,,
1400000US06037115202,153.8200304,167.4100806,114.7196203,144.3060094,243.1197655,336.9116433,81.3502634,,
1400000US06037115203,105.7010497,133.8291488,75.30941928,,,,27.53158772,,
1400000US06037115204,149.1864204,180.467198,124.1532951,,,,34.74449838,,
1400000US06037115301,153.2506579,158.4788233,129.4973387,,,,42.97098241,,
1400000US06037115302,132.0458075,160.6095106,,,,23.52637022,23.57631579,,
1400000US06037115401,161.7521981,161.0156709,54.10595611,136.3755415,,,61.84395833,80.15363128,
1400000US06037115403,158.1851852,145.2238053,114.6732551,92.50088028,,,87.33277704,,
1400000US06037115404,175.2673988,187.1250556,,129.7923077,,75.97471497,111.8909295,,
1400000US06037117101,108.8520138,120.1394422,98.32596461,,,,20.35952738,,
1400000US06037117102,140.7611417,123.9973893,82.55263567,61.93541044,184.5569695,,24.11458619,135.577451,
1400000US06037117201,141.2596054,137.1207575,91.66790648,76.33029862,113.911763,212.1100917,43.6515071,,
1400000US06037117202,127.8292843,115.9043779,,109.527027,,,,,
1400000US06037117301,140.9229702,149.1593379,,106.8183333,,,,,
1400000US06037117302,147.9705557,131.2348493,73.50446429,,83.80049787,,,,
1400000US06037117303,153.7603448,140.8390093,,,,,,,
1400000US06037117404,132.0115811,144.5974166,90.55151757,94.31053902,,,,,143.7301061
1400000US06037117405,150.7398649,,60.76236559,,,,76.07333197,,
1400000US06037117407,217.1328514,,,,,,92.48410518,154.1193713,
1400000US06037117408,126.536875,143.67,43.82575173,27.99789385,90.15095003,,36.84680728,,
1400000US06037117510,142.9245536,141.5402299,61.15306915,115.8850245,,,68.61319807,,
1400000US06037117520,97.92026578,115.3338533,57.02557704,0,,96.98743102,42.26363273,53.67692308,
1400000US06037117530,120.4257411,131.4705393,65.04845815,71.91883117,,70.85802469,36.72770123,119.4976228,
1400000US06037119001,124.9704709,138.6083791,,,,,,,
1400000US06037119003,119.8047667,149.2521268,53.58441735,138.6532591,45.66428571,31.65837321,165.9027181,,
1400000US06037119004,124.8347633,108.0827696,,96.80586592,,,,,
1400000US06037119201,122.3262099,144.3099156,,,,,143.2853683,,
1400000US06037119202,117.2433656,131.1852573,59.90797042,182.7967213,,42.53262956,,,
1400000US06037119310,148.7509091,112.1111111,75.472,341.744856,,70.76102834,69.71912042,,104.3280576
1400000US06037119320,114.3001543,161.7249057,45.16717482,290.4845422,,,30.19396542,8.52814739,
1400000US06037119340,,,,29.91132121,,,46.31057726,,
1400000US06037119341,151.3082271,122.9026365,64.95150625,76.66412491,,36.1653082,88.11533014,70.56620796,
1400000US06037119342,179.3104572,71.29907913,76.79615385,,,,32.55448584,,125.0524565
1400000US06037119400,124.401294,121.9132166,44.79227053,85.8975249,,,,,
1400000US06037119700,110.4233236,111.9494961,,93.95240194,,,37.87856985,,
1400000US06037119801,129.8949511,131.7012615,,61.94394765,,,,,
1400000US06037119802,123.8277311,114.1935477,,,,,112.9150708,,
1400000US06037119900,155.7968347,154.8615273,,,,,33.69838794,,
1400000US06037120010,172.2965703,181.175,,126.6716834,96.11859561,,73.40525827,,
1400000US06037120020,124.9657191,133.8671899,92.27744681,21.9125523,,75.87399194,64.77918056,,
1400000US06037120030,167.8791565,185.8052158,,161.5877568,,177.9420063,71.55813012,,
