TRACT_FIPS,GEOID,FIPS,Median_0100,Median_0101,Median_010C,Median_0200,Median_0300,Median_0400,Median_0500,Median_010E,Median_010D
101110,1400000US06037101110,06037101110,570.5430615219001,628.6426245169922,159.49662603782275,405.11797686295165,398.2569041972362,277.95808162305394,511.98669049936655,,
101122,1400000US06037101122,06037101122,383.6513123819614,219.37303478416683,,559.2937761233393,562.1454442193836,,421.0543490600847,,
101220,1400000US06037101220,06037101220,558.8591190643602,513.5534467052562,480.5184356145054,469.58170304223273,472.4216770132449,440.27564053610166,431.16195545556525,,
101221,1400000US06037101221,06037101221,383.3343207132044,408.802944999925,317.1136444314658,366.8389278345994,407.9390860613955,341.42612471693485,285.75187403820314,125.28483766005319,
101222,1400000US06037101222,06037101222,267.02766263628484,,160.19825646731377,279.8841190475421,259.8533093210955,290.9460396540757,199.8861276630763,76.09192283715676,177.0246576859048
101300,1400000US06037101300,06037101300,479.9756898299296,458.41114442453727,364.32022242874046,511.7970512137258,435.3747226511575,,,,
101400,1400000US06037101400,06037101400,320.98365325356497,178.55838504635852,583.049734476242,503.06093122279356,381.8878472201638,388.6028137875336,365.23372492027204,,
102103,1400000US06037102103,06037102103,542.8157128767886,487.0642555549383,1106.291030565477,,,,1122.6081853237633,,
102104,1400000US06037102104,06037102104,254.13930808796897,223.77416842023385,94.86928288419355,,,,,,
102105,1400000US06037102105,06037102105,464.1691771419816,561.4285184726997,,65.28614030243747,609.2362810365928,567.4013574000801,580.2625169582476,,
102107,1400000US06037102107,06037102107,334.47501693389444,339.90358135173335,769.7896057425744,371.4495952715879,373.3377522110727,,512.6155447763997,,
103101,1400000US06037103101,06037103101,433.69663671571084,431.37679633900706,343.61749936602024,461.75251127584175,,,,,
103102,1400000US06037103102,06037103102,689.158376373942,734.3164264986677,476.60018025768244,707.0466925559916,177.35929414947176,859.8676140267848,817.617691309161,,
103201,1400000US06037103201,06037103201,236.9260872811446,250.24728109265754,,122.1076317473771,124.91454202974094,75.88051538885408,89.22634998328282,,
103202,1400000US06037103202,06037103202,293.90077931417704,339.4125770743082,,265.8286121519413,273.6224279672127,,,,
103300,1400000US06037103300,06037103300,393.9629716995667,558.2820118702359,,422.9993499981739,213.5214836905456,172.27977854007577,263.31097592333674,,271.13472686928424
103401,1400000US06037103401,06037103401,333.63384746470933,350.0085609458057,200.77508128769628,354.7929652482393,401.81048798857995,390.30865215958045,77.00053956921734,,
103402,1400000US06037103402,06037103402,543.7548476944717,597.9182183116313,787.9592701342302,528.4070392161765,192.1582324181452,653.0917871834702,619.2403382401976,,
104103,1400000US06037104103,06037104103,769.2496295859503,740.7823359661147,,,,,,,1148.4290126299904
104105,1400000US06037104105,06037104105,530.4579870932469,527.5207838586974,518.1917917698512,570.4451207933483,,,546.8886030020667,,522.3165412917022
104108,1400000US06037104108,06037104108,260.5309785363515,249.75473635380888,405.50078949858363,180.01532629118026,44.62967587805356,,126.76138440865002,47.495568429387994,
104124,1400000US06037104124,06037104124,270.6995803816161,363.9755819770557,139.07411896563437,320.58866201191324,236.77642267054193,,,,
104201,1400000US06037104201,06037104201,831.4742873934954,854.2139711883858,,972.6442827606115,,,1170.7582061310115,,
104203,1400000US06037104203,06037104203,396.1497677458934,336.3269745592991,735.6459307338305,561.3538266176388,531.6543262507623,,458.6990288914893,323.29207299722094,
104204,1400000US06037104204,06037104204,548.9709862327672,657.1330331893809,,,,,111.7597399163868,,945.5269924182064
104310,1400000US06037104310,06037104310,586.2865299807461,466.66616403349144,,851.6990833403092,943.9982844767395,,,,
104321,1400000US06037104321,06037104321,574.3749257189977,558.2247927723076,,624.2976385883277,766.5913994607697,700.2502142172684,729.0602238456311,,
104322,1400000US06037104322,06037104322,851.0808949147893,904.7596354984393,,781.1840155763146,,959.9950772400317,995.5191209461102,,
104401,1400000US06037104401,06037104401,396.88358899599814,347.3251837465069,,374.920134947948,434.39512584987517,,531.5855676942349,,
104403,1400000US06037104403,06037104403,867.0460509283946,1048.7808200187483,,375.59413650158393,1051.4419956681068,,893.5347281261539,,
104404,1400000US06037104404,06037104404,714.9568353755584,712.6930905850462,,614.3788801875373,808.3460578750365,917.5576806538093,865.2678315337273,,
104500,1400000US06037104500,06037104500,785.2684168568235,711.5210077031409,,1015.8927099099508,465.65808192041504,1052.4620241076968,722.8767191097384,,
104610,1400000US06037104610,06037104610,807.9533182399632,678.2911839543852,,764.935174540933,679.3103770816203,769.7256626679875,879.5295203227165,,
104620,1400000US06037104620,06037104620,652.1578425802511,487.58978126954105,,956.9715860925114,1005.8087791779768,,,,
104701,1400000US06037104701,06037104701,322.37726232166784,180.55928641604206,,406.0455017702419,587.9858489190469,618.9029752518757,598.0455964089551,,
104703,1400000US06037104703,06037104703,409.85878441951235,,,433.2265167105413,595.2018266139428,,223.6751477290275,101.42900888363229,
104704,1400000US06037104704,06037104704,326.3925054921644,416.8635502321247,99.40902306806149,201.34809953823017,,,226.52067452183158,162.83990426860657,
104821,1400000US06037104821,06037104821,705.7925658167354,768.7324729422654,,588.6764439434442,544.9173721198072,530.7627564075722,582.3846938993896,,
104822,1400000US06037104822,06037104822,870.0747916803655,945.067731016071,,588.6537479348193,,,926.9359052944124,,1110.7579145692298
104823,1400000US06037104823,06037104823,428.5664354432197,757.3935106075523,,618.0474612627306,941.231338656674,,,,
104824,1400000US06037104824,06037104824,725.2578844947612,503.55920340776174,,554.8436839474782,521.4428118777902,,,,
106010,1400000US06037106010,06037106010,246.1051098923818,251.52899895745458,581.9439878197202,485.4736693333605,424.0831401933449,,,,
106020,1400000US06037106020,06037106020,516.9424073673861,509.3893598441888,,907.8019252803624,708.5675201653111,,,,
106111,1400000US06037106111,06037106111,250.08010036357672,291.37521102251554,,,,,,,65.22890808559475
106112,1400000US06037106112,06037106112,268.90714051668084,204.51598146006336,70.45262657579381,351.91463691660437,401.0537377515945,,,,
106113,1400000US06037106113,06037106113,579.2632084074806,559.2226601030516,852.8956351793942,761.195636550055,,,,,632.9084760472208
106114,1400000US06037106114,06037106114,714.1232695947084,962.5277730430031,1073.9570192781694,352.9352990879729,497.5747105971923,368.17071710861916,322.98507155639743,,
106403,1400000US06037106403,06037106403,525.6943073628292,533.6375110454802,,321.82186399982504,,,,,
106405,1400000US06037106405,06037106405,547.7508716031562,521.9199793190185,751.3028449976496,600.7687269542612,519.5858945675432,620.5430943644238,825.0136967530175,675.6946496346802,782.3970642279278
106406,1400000US06037106406,06037106406,576.0894755989686,620.3965364811472,792.2165844954416,562.5559697321266,560.3051861776142,,723.7634582736878,,358.12046984208473
106407,1400000US06037106407,06037106407,,,626.3259225364569,,,,690.6941048785139,614.6696985695365,
106408,1400000US06037106408,06037106408,558.487782618591,,560.3956028757904,753.983470461473,,766.8636540389501,767.296496033378,,466.0238620714871
106510,1400000US06037106510,06037106510,625.8347881822662,570.5113152448635,,750.0256560229303,902.1436916667743,,,,320.1487319240826
106520,1400000US06037106520,06037106520,847.6977228285575,1009.7788801305353,908.195167431122,847.2673001093281,439.7041357816217,753.8010686885015,,,402.81131581761184
106603,1400000US06037106603,06037106603,226.15501422848854,208.4689481468317,,663.9119013858765,,,,,
106604,1400000US06037106604,06037106604,292.54470611990524,181.07140856317443,,278.8394734827166,389.0135467636709,,456.0970911081481,,135.690105188211
106641,1400000US06037106641,06037106641,501.65649743553996,525.8229236014934,,308.3111207273791,,,,,
106642,1400000US06037106642,06037106642,609.9776091994897,636.0800845729971,,,,,,,
106643,1400000US06037106643,06037106643,600.9487466385382,657.9833866345612,,292.4709726605574,,229.1757136374169,,,
106645,1400000US06037106645,06037106645,243.10265912222857,113.67209272766468,,,,,,,
106646,1400000US06037106646,06037106646,424.43650632656886,328.0126144473267,,879.9484262025413,,,,,
106648,1400000US06037106648,06037106648,300.0810560214675,275.4317934145323,,441.8911569739837,457.2848925883645,,189.39740968519172,,
106649,1400000US06037106649,06037106649,222.96971034963894,152.52142958565514,,272.1832558552032,322.14737269709224,,,,
107010,1400000US06037107010,06037107010,502.1140587689148,512.3609185919738,,541.144948304624,495.3660379310354,778.3425791449249,,,
107020,1400000US06037107020,06037107020,365.9010014087512,314.8611472691995,394.687947110971,614.1790405497112,542.2077151073597,554.0038792365536,316.392161712193,,438.85747026169685
108101,1400000US06037108101,06037108101,226.1839530821591,251.34599544396605,,,,,,,
108102,1400000US06037108102,06037108102,401.0896549824651,376.0844327283773,107.93186734827874,,,,,,276.77126501062486
108103,1400000US06037108103,06037108103,157.35369680799212,152.18083499668728,,,,,,,159.828672778429
108104,1400000US06037108104,06037108104,137.34602008401774,134.5175039523055,,,,,,,
108202,1400000US06037108202,06037108202,361.7772374465445,580.2874534228087,920.8082359169606,,,,715.807592944697,,505.8221534102555
108203,1400000US06037108203,06037108203,235.41608433270963,172.92218904367647,,,,,,,260.5017512834712
108204,1400000US06037108204,06037108204,68.16015983844535,75.96702114904679,,,,,,,196.78446191989073
109100,1400000US06037109100,06037109100,393.76079881665896,411.62942291397496,,139.97486792611838,,,,,
109200,1400000US06037109200,06037109200,514.5957078011721,525.7549529688862,643.9893592666111,527.8250481303271,,840.2313938301251,,,
