GEOID,Median_0100,Median_0101,Median_010C,Median_0200,Median_0300,Median_0400,Median_0500,Median_010E,Median_010D
1400000US06037554403,376.4054021,402.7795585,347.7117208,376.2966184,137.9407478,344.9251391,311.6171968,64.39810615,
1400000US06037554404,775.3913101,545.040068,664.2521941,563.2863414,551.5427168,597.5484343,615.5053206,562.0640269,396.0445643
1400000US06037554405,547.6595498,469.8439831,835.1986495,690.1307826,699.5956236,416.1529502,1002.071029,,1166.447968
1400000US06037554406,402.0647854,360.2598979,743.9898906,327.0726745,654.0476184,439.7273522,341.0196081,,549.4629269
1400000US06037554511,286.2134384,268.4181086,281.4062192,,,,,,
1400000US06037554512,227.5034758,221.0097399,,,,,,,188.3564859
1400000US06037554513,163.7383889,139.7937493,166.6612229,,,,,,205.0083122
1400000US06037554514,309.7689071,290.5684519,410.5135831,,,,,,500.5400498
1400000US06037554515,265.9901257,240.2135057,200.6008658,,,,,,
1400000US06037554516,263.336448,244.9178745,,,,,,,
1400000US06037554517,268.1114864,255.857843,,,,,,,
1400000US06037554518,299.6473523,268.5684658,410.6431392,,,,,,428.6785607
1400000US06037554519,106.5987513,84.04025492,77.50159896,,,,,,239.9292499
1400000US06037554521,171.4653069,177.2593009,81.86831836,,,333.0657425,182.4422937,,399.8506654
1400000US06037554522,279.2871799,262.1590627,,,,,,,
1400000US06037554600,677.5553885,735.9345196,398.9302142,,,,,,
1400000US06037554700,211.5105378,240.9843224,,237.3402967,,,331.8820549,,
1400000US06037554801,231.708334,187.1908015,,342.8070656,487.6888553,,482.5503698,,
1400000US06037554802,619.6480186,548.1193379,916.9712934,765.2128685,792.6293805,785.3545875,833.8911803,,539.1115858
1400000US06037554900,348.9564441,395.7561339,747.9871591,381.3190379,436.4723911,385.3296575,222.226328,,
1400000US06037555001,390.7375413,261.2065857,639.1861236,557.6858399,592.4748876,607.8929194,595.1158626,,227.7751449
1400000US06037555002,257.1023537,236.5016669,300.3534162,260.7782267,126.5404969,228.856795,208.0120678,,
1400000US06037555105,424.799783,400.766843,354.0978261,433.6161056,404.2328329,495.4943314,489.3722751,96.39359741,247.1405319
1400000US06037555106,587.4345794,608.007667,591.4882104,597.25161,657.4246275,664.8874814,634.7049185,347.4958697,
1400000US06037555107,223.4683248,186.2230027,174.0758281,460.5735379,,,156.8141955,,65.7907705
1400000US06037555202,384.9093067,368.9539833,,,,,,,708.9761666
1400000US06037555211,347.3454499,307.2647348,541.886312,266.8158515,341.8047167,341.1651729,134.7900343,,
1400000US06037555212,318.1026639,399.1822431,511.422774,312.3427463,239.0578781,350.9188385,385.1469766,511.422774,519.5023293
1400000US06037555300,782.5572193,913.9540754,,180.340846,,528.74526,,,901.9982794
1400000US06037570001,928.3285816,834.6327281,,758.3318961,733.7473574,1094.151116,1101.827437,,
1400000US06037570002,580.9560541,596.0088738,,,488.9638862,470.9445005,582.9322002,,
1400000US06037570003,538.460021,578.8984168,,736.0313536,728.2204339,878.6098645,811.4438788,,
1400000US06037570100,680.8203225,680.1519285,,447.6792025,,539.9536736,,,
1400000US06037570202,402.3463964,302.380877,891.1621886,456.6493497,908.4041138,590.9997958,1116.543377,,
1400000US06037570203,565.05706,533.9621904,602.1607868,783.4655397,566.1048847,387.0803535,442.4721012,307.3774599,606.4229462
1400000US06037570204,217.2622849,246.1771783,,239.4794488,344.8418123,409.8309396,359.4062052,309.9212938,
1400000US06037570303,223.3104363,102.6789005,,285.2652114,287.7063673,233.1057746,223.8591126,,439.795501
1400000US06037570304,261.193976,258.6825053,,240.7251891,238.9004732,228.9771233,235.6157987,,
1400000US06037570305,175.7521753,144.8033937,,570.5740938,,501.9631596,177.3924722,,
1400000US06037570306,263.4863448,187.5368121,,388.1305058,379.2104054,336.684762,356.7714727,,
1400000US06037570402,407.6766793,727.5460503,,465.2853248,507.7724578,,654.6994609,,
1400000US06037570403,554.2617189,660.8062844,,568.1866066,582.6108905,615.0074307,491.934935,,
1400000US06037570404,515.6538609,525.7109775,,469.373556,450.2435936,355.3995348,355.3092198,,
1400000US06037570502,1023.645445,1011.00287,,1073.992367,1042.204215,1247.480791,1226.520748,,944.8792857
1400000US06037570503,454.3738196,362.5969066,,501.1026084,435.8611492,485.20735,425.1657882,,
1400000US06037570504,413.9532909,303.1364453,,434.7120273,565.1734112,552.9084485,577.7222601,,
1400000US06037570601,653.1783705,485.6805849,,665.853144,443.1790165,521.2731818,471.6165058,,
1400000US06037570602,544.6031384,513.6259701,130.7868159,343.9341723,424.1441681,642.6668498,874.917624,,
1400000US06037570603,153.2928425,262.4293559,412.5974358,252.9478988,,290.8438603,329.1475108,,
1400000US06037570701,545.4693015,556.6706009,226.0604593,,,,619.7279764,,228.5249963
1400000US06037570703,244.2234545,208.9510583,,,,,,,139.1008555
1400000US06037570800,466.8035151,476.278436,,,,,,,
1400000US06037570901,284.1228576,241.2453325,,,,,,,
1400000US06037570902,265.4495323,291.3095837,,397.5141657,,,,,
1400000US06037571000,289.7090339,242.5509553,,,,,,,
1400000US06037571101,375.8050665,388.0098244,,,,,,,
1400000US06037571102,332.2818679,324.3375054,,,,,,,
1400000US06037571201,345.7519693,365.0695278,,211.4597867,324.5737999,342.0437802,203.0328271,,
1400000US06037571202,441.7322393,514.8625209,394.1364744,,483.8877977,551.7045204,468.3620571,299.922538,
1400000US06037571300,281.1071248,117.3136247,,,,,142.532262,,
1400000US06037571400,488.5659011,500.8133458,,,,651.6828892,560.6396847,,
1400000US06037571502,217.1714923,212.6714417,233.9236167,29.83829511,65.52640965,550.2763746,209.2690708,103.1083227,
1400000US06037571504,268.0877161,245.9986693,,,,,166.8956117,535.5869988,
1400000US06037571505,374.7859553,322.3171816,,80.70323803,95.62404973,104.8583028,186.9629334,100.2831972,
1400000US06037571600,48.60495507,,,,,,71.93326877,,
1400000US06037571701,229.4393554,149.0397188,94.52100313,214.2300974,188.9126962,256.4502391,277.4980498,,
1400000US06037571703,335.9348315,306.2631808,127.3314051,312.8996748,196.96402,174.9791063,185.0329933,,
1400000US06037571704,222.5037852,132.8780107,,221.8044752,157.5672928,65.32002782,91.0745904,176.132147,
1400000US06037571800,527.9518521,475.3281778,800.1434177,121.175364,647.7168693,1049.480341,900.6800448,,169.5592718
1400000US06037571900,453.7891244,431.5202009,837.2223939,491.8633725,784.9835816,341.9704889,503.800217,812.9306522,
1400000US06037572001,608.212842,622.0316509,,634.3237815,558.9493929,189.9451288,298.4888922,,
1400000US06037572201,347.1529339,401.1995659,696.467437,433.1675835,239.6110087,177.1952659,156.8779932,,
1400000US06037572202,277.0690794,281.1922965,,102.3645636,290.0214735,58.67685976,132.9727516,,
1400000US06037572301,346.1401608,861.3900714,,377.6817738,620.3875718,308.8213991,488.2221944,,
1400000US06037572500,281.4750759,330.2431064,,395.0547721,,,241.2882583,250.3250937,
1400000US06037572600,559.459671,537.4997363,850.1980141,547.058243,790.0761776,835.303555,707.9105183,,
1400000US06037572700,482.2112198,410.7302992,112.4607733,449.7753661,309.8582074,482.0301341,266.1799579,,
1400000US06037573002,393.8027011,,,375.6179518,361.5320868,361.0292535,438.9802335,,
1400000US06037573003,138.6614274,122.6854841,85.40668929,127.8838244,85.00547471,106.0335862,84.92306362,,
1400000US06037573004,185.1711988,185.1470155,387.0735007,272.3683588,285.885887,293.5204216,303.0116138,,
1400000US06037573101,329.2881529,414.6714118,302.3224212,383.3965625,225.0207296,283.1830926,232.8892615,,
1400000US06037573102,266.1721246,261.0156974,,306.8323693,365.2128129,357.1598956,372.1201812,,
1400000US06037573201,245.2692877,,,243.118686,291.7670245,268.0045411,209.6901847,,
1400000US06037573202,249.0314353,203.5934623,341.0407596,250.5449348,235.2434262,236.1779547,242.4744819,320.7866454,259.1056396
1400000US06037573300,117.9968902,178.8889316,202.9226,114.6398755,138.2641937,119.6292764,103.1553247,,
1400000US06037573401,210.7939719,211.2207973,418.8882929,246.9405144,288.0859819,145.3692509,268.450987,,
1400000US06037573402,193.24862,218.0619799,201.4017861,170.8052832,136.9106229,75.06089612,142.6682454,125.8509754,94.10824049
1400000US06037573403,126.6250912,140.1368776,184.46649,358.4444307,,116.8858388,210.899172,246.8987978,23.18177389
1400000US06037573601,273.9295878,270.8051174,,,,,,,
1400000US06037573700,558.5536501,513.2703352,,,,,,,
1400000US06037573800,464.2582243,629.0912312,,,,,,,
1400000US06037573902,301.4280814,280.0014351,213.2390496,,,,,213.2390496,
1400000US06037574000,604.5537688,445.9408039,,,,,,,
1400000US06037574100,651.2482321,646.0348742,,,,,,,
1400000US06037574201,482.9290314,474.6506601,,,,,,,
1400000US06037574202,234.1991186,206.6758075,,312.2292661,328.0650456,,945.5617422,,
1400000US06037574300,964.077499,1012.151721,,882.9221996,,,454.0814455,,
1400000US06037574400,474.4374197,558.3701859,,,,,,,
1400000US06037574500,313.1949818,394.5317849,,,,,,,
1400000US06037574602,124.3250526,124.5177734,239.9569523,,,,,,293.6707771
1400000US06037574800,286.9469272,272.2680762,38.65299409,52.91488065,53.67379636,35.79958559,113.1684863,481.9478574,
1400000US06037574901,316.1572852,296.4245917,334.5482562,378.2947128,200.5559794,320.5435636,347.3036721,496.8835466,
1400000US06037574902,216.3249078,255.2242425,529.1843016,106.8227595,487.4273506,543.9264625,596.3549389,503.941538,
1400000US06037575001,412.9642437,325.660741,609.2510579,647.5187915,527.9145613,651.3858816,529.7187089,520.2582905,444.2365741
1400000US06037575002,330.5746221,272.0564199,314.4560919,392.123269,425.2751743,325.0161327,257.5361081,36.83108685,533.5406096
1400000US06037575101,184.8527905,219.6920474,173.7960692,192.4441609,191.6834004,180.9213063,196.4343851,190.8712604,180.8153736
1400000US06037575102,353.9892163,,,399.0434465,344.4843967,394.4335056,309.3805647,30.59195225,
1400000US06037575103,258.1454072,438.6879753,299.5822189,274.3743825,261.537344,220.7727498,229.0118036,218.3177204,
1400000US06037575201,133.1815178,105.9776074,37.33561627,115.253284,122.8302127,144.2213499,168.1202697,155.4884625,
1400000US06037575202,288.7014917,186.0080907,288.4085978,257.3559844,292.1372356,288.7378066,253.0274694,,
1400000US06037575300,200.1536785,,333.8464663,173.0838176,188.6423536,193.8467848,202.5884192,,
1400000US06037575401,289.9082353,,391.218315,260.4224136,180.8370341,131.2732022,204.2126149,,
1400000US06037575402,346.1531945,,118.6911322,349.9890039,395.660804,337.0584414,312.9682518,,
1400000US06037575801,58.45374288,,,91.13566741,90.80353159,84.67512535,84.84576917,,
1400000US06037575802,275.4069728,302.9579623,395.0744626,267.2997276,258.5048964,247.8226583,245.2895186,257.6067192,
1400000US06037575803,226.1257814,,124.4746912,261.5477304,205.580302,172.1979986,186.733415,111.357619,
1400000US06037575901,222.9469317,268.7315934,91.45775444,235.4337053,148.1164378,198.6473828,205.0970035,,
1400000US06037575902,398.0801263,,415.6449745,382.4808015,426.2024735,384.7057954,385.1762138,361.219522,
1400000US06037576001,274.5640046,,18.28315171,251.4634589,140.921796,152.5725371,138.2758945,61.12419977,
1400000US06037576200,274.7975237,,210.2329155,305.7461368,246.3829933,329.5396827,354.0412735,364.4626307,
1400000US06037576301,401.1093229,,188.7074856,456.3885579,313.4503323,314.4541707,298.2836335,135.3712538,
1400000US06037576302,373.8147718,,323.7302875,348.9245804,430.3950047,360.7997655,360.9154267,,
1400000US06037576401,183.7893884,,225.7657643,190.1713026,205.0307887,196.7470867,220.7135297,99.93289931,
1400000US06037576402,231.0095253,,,263.2426141,261.769298,263.5943183,231.8731844,285.5844832,
1400000US06037576403,536.0919598,,368.4066483,536.6878475,542.6621036,562.5949483,560.2393759,520.3148293,
1400000US06037576501,257.558185,,391.3163025,262.5901542,200.9174707,230.9488756,362.2866315,467.6267752,
1400000US06037576502,246.5365011,221.3740671,359.3389187,273.0100879,210.5032658,262.9729259,229.3124344,274.8493538,
1400000US06037576503,292.1157363,360.1292141,,261.5734435,316.0730751,291.0924001,291.4590599,265.8114376,
1400000US06037576601,395.0909758,,36.5136588,343.7704681,325.255133,337.0934444,223.9288847,110.4532749,
1400000US06037576602,245.7800393,,33.76411058,230.1573235,229.6998791,166.5322043,159.2790471,222.5146334,
1400000US06037576700,248.5707711,193.0444057,55.39081549,286.5402129,318.2070872,300.7729893,301.6045612,323.9067457,
1400000US06037576801,187.0863702,117.5397277,175.1613881,185.1933359,337.4992497,256.0561946,240.9495064,142.0751847,
1400000US06037576802,427.6982253,342.9579562,432.6152856,425.5377607,442.1010108,382.6190241,420.8698752,519.5096642,
1400000US06037576901,636.8166545,759.2425649,757.3510298,658.0857242,655.0144698,680.1357983,691.1484722,600.3476682,
1400000US06037576903,380.181543,,374.8034032,340.2209931,340.0868823,333.7659986,342.4910218,319.9295525,
1400000US06037576904,215.6040486,,360.633669,230.890239,190.6328575,222.9125526,210.9879799,280.3424933,279.3071357
1400000US06037577000,163.730849,139.1829449,175.2833159,147.7071951,165.8588374,152.4115215,145.6582634,36.13979552,
1400000US06037577100,563.5008728,647.2488737,665.8702233,561.0807973,538.1149938,510.6059359,571.3825458,712.251228,421.8352436
1400000US06037577200,381.2350705,430.6238938,180.3677011,333.8921987,218.862584,224.0398009,176.9347737,102.9787034,
1400000US06037577300,217.5140774,182.859882,155.2102911,204.1871948,155.0683225,178.1691739,160.8713422,103.0680884,
1400000US06037577400,234.2109807,258.890251,118.686872,244.0916763,259.4437989,203.3335936,236.7474229,225.3942363,
1400000US06037577501,148.5450772,134.257707,120.0867327,173.2290507,283.9706177,116.5368563,204.6798236,207.2763269,
1400000US06037577504,34.59588215,,35.169265,41.39573869,41.05242899,54.39519804,54.84679312,39.13011639,
1400000US06037577602,253.6273939,296.453609,184.8335522,,,,,289.6589255,564.1977926
1400000US06037577604,,,120.2409812,,,,,,71.4063397
1400000US06037577605,222.0593482,192.0339084,77.44377018,353.8912567,321.0357153,147.2673011,270.4780757,336.6005609,140.2470975
1400000US06037577606,184.7095777,179.160593,46.93636964,206.2892026,213.8170558,85.8792326,60.92439122,291.5219531,91.06514938
