GEOID,Median_Housing_Price_2022
1400000US06037101110,627500
1400000US06037101122,861600
1400000US06037101220,645300
1400000US06037101221,550400
1400000US06037101222,NA
1400000US06037101300,818400
1400000US06037101400,707500
1400000US06037102103,832200
1400000US06037102104,668200
1400000US06037102105,617800
1400000US06037102107,895200
1400000US06037103101,726700
1400000US06037103102,599300
1400000US06037103201,645700
1400000US06037103202,822100
1400000US06037103300,1048900
1400000US06037103401,692100
1400000US06037103402,748200
1400000US06037104103,630400
1400000US06037104105,459300
1400000US06037104108,586900
1400000US06037104124,623700
1400000US06037104201,606000
1400000US06037104203,489100
1400000US06037104204,525500
1400000US06037104310,588600
1400000US06037104321,604900
1400000US06037104322,582100
1400000US06037104401,604600
1400000US06037104403,573700
1400000US06037104404,580600
1400000US06037104500,543900
1400000US06037104610,595800
1400000US06037104620,581400
1400000US06037104701,612400
1400000US06037104703,549500
1400000US06037104704,310900
1400000US06037104821,527300
1400000US06037104822,635700
1400000US06037104823,603100
1400000US06037104824,598600
1400000US06037106010,678900
1400000US06037106020,625900
1400000US06037106111,587900
1400000US06037106112,619000
1400000US06037106113,641000
1400000US06037106114,485900
1400000US06037106403,636600
1400000US06037106405,468900
1400000US06037106406,466700
1400000US06037106407,355400
1400000US06037106408,469700
1400000US06037106510,675200
1400000US06037106520,642300
1400000US06037106603,909800
1400000US06037106604,666200
1400000US06037106641,926800
1400000US06037106642,863100
1400000US06037106643,1066500
1400000US06037106645,963200
1400000US06037106646,701400
1400000US06037106648,540700
1400000US06037106649,641100
1400000US06037107010,613200
1400000US06037107020,569700
1400000US06037108101,896300
1400000US06037108102,865400
1400000US06037108103,1030300
1400000US06037108104,933400
1400000US06037108202,1241300
1400000US06037108203,851500
1400000US06037108204,896800
1400000US06037109100,559900
1400000US06037109200,699500
1400000US06037109300,694600
1400000US06037109400,491700
1400000US06037109500,627500
1400000US06037109601,649100
1400000US06037109603,644800
1400000US06037109604,638400
1400000US06037109700,703600
1400000US06037109800,675200
1400000US06037111100,687200
1400000US06037111201,800300
1400000US06037111202,729300
1400000US06037111204,984100
1400000US06037111205,751500
1400000US06037111206,878700
1400000US06037111302,891600
1400000US06037111303,756400
1400000US06037111304,386400
1400000US06037111401,738400
1400000US06037111402,683600
1400000US06037113101,844600
1400000US06037113102,1193500
1400000US06037113211,669100
1400000US06037113212,691200
1400000US06037113213,692300
1400000US06037113231,912000
1400000US06037113232,884400
1400000US06037113234,524000
1400000US06037113235,596800
1400000US06037113237,916500
1400000US06037113238,524800
1400000US06037113239,NA
1400000US06037113301,1048900
1400000US06037113303,739400
1400000US06037113322,847900
1400000US06037113323,582800
1400000US06037113324,438800
1400000US06037113423,650000
1400000US06037113424,672100
1400000US06037113425,567700
1400000US06037113426,686300
1400000US06037113427,450300
1400000US06037113428,650000
1400000US06037115101,1023300
1400000US06037115103,NA
1400000US06037115104,604300
1400000US06037115202,711600
1400000US06037115203,945500
1400000US06037115204,801400
1400000US06037115301,847200
1400000US06037115302,689300
1400000US06037115401,751200
1400000US06037115403,717600
1400000US06037115404,710500
1400000US06037117101,598800
1400000US06037117102,600900
1400000US06037117201,685000
1400000US06037117202,689800
1400000US06037117301,766800
1400000US06037117302,789800
1400000US06037117303,798400
1400000US06037117404,784000
1400000US06037117405,368000
1400000US06037117407,NA
1400000US06037117408,593300
1400000US06037117510,419400
1400000US06037117520,498200
1400000US06037117530,477400
1400000US06037119001,606700
1400000US06037119003,599700
1400000US06037119004,640500
1400000US06037119201,609600
1400000US06037119202,577500
1400000US06037119310,402000
1400000US06037119320,525100
1400000US06037119340,NA
1400000US06037119341,460700
1400000US06037119342,407400
1400000US06037119400,623200
1400000US06037119700,652000
1400000US06037119801,634500
1400000US06037119802,610100
1400000US06037119900,598800
1400000US06037120010,601400
1400000US06037120020,624200
1400000US06037120030,NA
1400000US06037120103,542900
1400000US06037120104,579500
1400000US06037120105,530700
1400000US06037120106,NA
1400000US06037120107,479200
1400000US06037120108,400300
1400000US06037120300,643300
1400000US06037120400,619300
1400000US06037121010,701800
1400000US06037121020,685900
1400000US06037121101,562500
1400000US06037121102,663600
1400000US06037121210,621800
1400000US06037121221,593300
1400000US06037121222,656300
1400000US06037121600,684100
1400000US06037121801,569600
1400000US06037121802,651400
1400000US06037121900,668200
1400000US06037122000,706400
1400000US06037122120,681400
1400000US06037122121,619100
1400000US06037122122,5e+05
1400000US06037122200,670000
1400000US06037122410,5e+05
1400000US06037122420,684500
