GEOID,Median_0,Median_1,Median_2,Median_3,Median_4,Median_5,Median_6,Median_7,Median_8
1400000US06037115104,1236.182515,,1653.491657,,,,1200.088488,1245.001989,
1400000US06037115202,812.6603711,903.9769888,965.2669516,785.3076783,,,,1021.287732,360.7250055
1400000US06037115203,771.5080009,1140.463602,992.6058363,,,,,571.5979352,
1400000US06037115204,785.62442,1104.741917,1114.447971,,,,,970.0482591,909.2415883
1400000US06037115301,801.5720917,319.8744174,408.2993165,,,,,,877.6546019
1400000US06037115302,873.4955973,352.3904156,328.1014366,291.2695145,,,290.8284075,957.7165475,629.6668906
1400000US06037115401,1506.397709,1632.071224,1610.571478,,,,,1703.70796,1421.562725
1400000US06037115403,1543.977638,1228.879607,1346.012426,1237.655589,,,1394.363644,1502.483127,1350.769654
1400000US06037115404,889.9609064,1085.715947,919.8491876,596.4444792,,,,609.08595,546.4438964
1400000US06037117101,684.27246,625.206468,544.8046805,,,,,892.4333374,807.8316285
1400000US06037117102,1218.51961,1367.744842,1340.792244,704.0889574,,,,1123.661961,827.3983558
1400000US06037117201,1458.70304,808.7334563,1362.479852,,,,,1434.185818,1746.377949
1400000US06037117202,1604.218551,1695.234306,869.7660966,,,,,1155.656473,1744.864094
1400000US06037117301,1663.926552,1577.945807,1770.230835,,,,,1530.793707,1236.129445
1400000US06037117302,1033.792911,1033.161929,980.9737487,1675.430608,,,1028.495302,678.9537168,1295.176239
1400000US06037117303,1671.865684,1771.832293,1718.510804,1814.269738,,,,1437.315732,1810.44951
1400000US06037117404,1318.068417,1644.265559,1131.86573,1373.254615,,,,861.6408599,1161.912573
1400000US06037117405,512.2710856,306.4653492,325.9303377,,,,,399.2744685,445.2575869
1400000US06037117407,401.7080469,214.3750167,159.2188811,,,,138.1507147,,346.2816707
1400000US06037117408,604.8241921,414.043691,778.7825756,751.9009468,,,,,685.556384
1400000US06037117510,376.8254668,374.4129579,250.3028804,135.6245857,,,,484.6579502,187.4222402
1400000US06037117520,277.3472394,101.5479545,58.32855962,,,,193.4127482,48.77606274,9.601219275
1400000US06037117530,484.3112799,552.899718,605.8159848,443.8573923,,,,,400.783108
1400000US06037119001,393.5981072,,,,,,,,378.1444859
1400000US06037119003,1108.85289,635.6132569,675.0631215,,,,,1462.884962,1282.138434
1400000US06037119004,899.0657198,944.5346652,965.8929538,1099.990442,,,,685.35122,1046.354712
1400000US06037119201,1117.214072,953.6302142,,,,,,975.1056145,1133.982966
1400000US06037119202,433.5503085,606.8121665,540.1162545,,,,,627.2307655,353.9462172
1400000US06037119310,882.0504438,911.5367712,1031.15375,1009.70699,,1047.640991,746.8787232,819.27078,788.657564
1400000US06037119320,324.8972569,28.97500372,207.9720645,,,,,256.3458493,570.832054
1400000US06037119340,208.0684797,142.4629181,,,,,,,118.949331
1400000US06037119341,425.4493623,73.38130079,138.8530201,,,,,283.0066069,670.1835198
1400000US06037119342,626.8607101,630.0793085,,603.5435103,,,,,575.4835397
1400000US06037119400,1164.433227,697.1388911,734.4382005,,,,,863.7366193,1322.716232
1400000US06037119700,835.4962841,1133.491,1104.320031,1373.02864,993.9803473,,1013.550825,906.8865789,1370.88019
1400000US06037119801,711.7201474,533.9909033,538.2053913,521.4208686,,,,702.8618426,776.5172297
1400000US06037119802,422.3628407,580.6640085,559.8952534,,,,,411.9648846,260.3627866
1400000US06037119900,301.7717828,436.7769789,405.6621002,,,,,515.1607926,76.04180539
1400000US06037120010,410.2085867,449.8692291,500.2060587,393.2070159,,,660.865321,,354.4451626
1400000US06037120020,428.0486933,687.7230406,659.6393295,577.9086295,,,,612.1579444,457.2162301
1400000US06037120030,183.9255625,444.9400514,437.719673,214.3637293,,,440.4460344,84.80313715,115.7401168
1400000US06037120103,419.035129,634.1528712,605.1914951,,,,,,
1400000US06037120104,529.2136507,701.9064519,699.7158494,447.3949068,,,,,690.3306755
1400000US06037120105,499.2047907,642.9639717,687.0398155,,,,700.3794163,594.1304706,
1400000US06037120106,610.2467049,,,,,,,704.8605558,586.9292146
1400000US06037120107,295.3035406,326.6218434,,,,,,,162.4696736
1400000US06037120108,254.8238582,,,,,,,48.76954081,14.32601972
1400000US06037120300,1027.319765,726.4341502,783.0088089,1064.250107,,,,1067.180796,1094.165126
1400000US06037120400,1057.428035,900.7272715,1055.595398,1308.990976,,,,1306.90516,1468.310371
1400000US06037121010,339.6257053,541.8702469,393.4788922,30.20004039,,,,116.0260033,119.6837392
1400000US06037121020,404.6438648,828.6701172,783.0669002,,,,,741.2650833,612.4671726
1400000US06037121101,860.5781702,856.0974373,714.0663854,471.67012,,,,986.1615845,480.7712892
1400000US06037121102,597.3816917,1193.125611,1255.903417,1196.652079,,,,713.4219592,1005.548783
1400000US06037121210,747.5560105,543.3960481,767.9875317,995.3813586,,,217.1120962,1220.727566,690.7466613
1400000US06037121221,582.9378021,,,52.47096891,,,,,
1400000US06037121222,862.0201528,1227.58373,1233.355322,1263.531504,,,1266.831485,912.0759418,1073.193386
1400000US06037121600,226.9815344,307.538008,304.7143085,227.9528418,,,249.1261704,,345.4114774
1400000US06037121801,1105.927155,1479.889708,1545.28768,,,,,1261.844759,1189.65396
1400000US06037121802,1110.010856,1310.96046,1251.467975,1290.141657,,,954.7714977,899.9042013,1359.04992
1400000US06037121900,1041.318612,1223.2571,1186.652965,1017.05646,,,1295.561254,1117.146796,874.0810363
1400000US06037122000,742.5024832,821.3491124,853.1044456,1039.608839,883.8480681,,,822.256633,789.9368856
1400000US06037122120,797.284172,982.4158794,1046.796724,,,,,826.9305462,900.4603509
1400000US06037122121,442.9543633,257.1093167,237.0075235,,,,,565.7467255,295.6093872
1400000US06037122122,198.5874848,166.657716,186.1582186,409.4211478,,,,75.42679787,377.431872
1400000US06037122200,414.2743724,630.1214402,620.523602,701.4250315,,,631.2712934,307.1464439,699.6939199
1400000US06037122410,1090.944078,994.8450717,1005.761654,965.0144247,,,1245.791409,1311.131242,1083.868038
1400000US06037122420,1538.251436,1469.717688,1316.988881,1399.2357,,,1462.16018,1630.52968,1475.982896
1400000US06037123010,1350.40702,1369.891925,1348.288021,1191.856271,,,,1343.275887,1340.294444
1400000US06037123020,1419.910469,1601.588972,1564.158378,1507.791783,,,,,1478.515831
1400000US06037123103,709.2250652,740.1800694,693.5024162,701.1545015,,,688.9023372,725.3795105,805.7073913
1400000US06037123104,421.0354581,390.0312446,532.8780029,316.5395994,,,,448.695367,375.2374482
1400000US06037123203,932.6675472,1101.30002,1081.192384,769.8541805,,,820.8486156,1165.706983,996.4833128
1400000US06037123204,535.8855213,423.2491131,350.1803338,,,,,770.9593725,616.1702275
1400000US06037123205,999.2172978,1152.058117,1176.979643,1200.630469,,,,,1083.652378
1400000US06037123206,271.0898702,568.3008554,588.5556437,739.4036604,,,,,518.4855437
1400000US06037123301,304.6425679,326.593794,347.5060534,300.8100251,,,850.6329221,,145.7422542
1400000US06037123303,574.1001189,669.3018037,667.9866208,631.8390167,,,615.6285829,666.0538275,583.9001778
1400000US06037123304,231.8939735,95.37752247,196.3961978,214.1475039,,,,,279.2022658
1400000US06037123410,378.9087783,720.0279218,690.2147445,696.6782934,,,,736.9159718,508.6595023
1400000US06037123420,385.661177,603.8761951,261.597221,196.4170272,,,41.12529783,279.8810546,531.9997759
1400000US06037123510,260.9590156,99.49145908,626.0972165,,,,,695.0733198,537.4519481
1400000US06037123520,215.3811634,412.7910425,530.574523,,,,,453.247712,
1400000US06037123601,102.21156,270.4675645,357.6102987,,,,,380.9004061,171.4020018
1400000US06037123602,611.6937219,660.1316427,616.4652581,,,,,461.392197,515.0968154
1400000US06037123700,479.0497998,378.1147979,409.6686728,,,,432.9424655,366.9095762,374.13385
1400000US06037123800,541.5223212,360.6331025,372.0240003,,,,377.8354902,238.2000852,700.8234706
1400000US06037123901,583.7247635,222.23741,400.3144904,411.1312034,,,438.4942106,421.9069952,412.0784477
1400000US06037123902,662.142049,309.5313846,559.9515097,,,,,551.2505085,
1400000US06037124000,818.4709717,769.7581114,778.2376231,956.8932397,,,607.0955744,225.3602655,739.0510072
1400000US06037124102,369.8887903,375.2629445,187.0536369,386.5608704,,,,498.0563734,169.0662337
1400000US06037124103,874.7257202,1020.624784,1009.336381,,,,1049.948377,,
1400000US06037124104,682.1686903,892.0805635,895.6466015,589.2798328,,,,892.1226464,634.6077437
1400000US06037124105,395.1569082,270.6455566,310.9868884,455.0382783,,,,,447.3680373
1400000US06037124201,433.1302705,479.4290339,460.7829211,451.0217325,,,,256.7006632,288.3129393
1400000US06037124203,518.7267435,423.0583605,420.5881981,,,,,,547.5332841
1400000US06037124204,688.044031,732.6013162,570.6296839,419.6461789,,,784.5867542,636.1686439,591.9179261
1400000US06037124300,241.9505759,204.2726586,263.8005288,93.74661083,,,166.3339048,291.8306824,31.99597996
1400000US06037124400,360.5862288,719.3217986,753.9021194,279.8999251,,,,701.7326839,168.7399409
1400000US06037124500,1075.618233,1298.157211,808.9207981,937.5496975,,,,1002.552878,1039.870833
1400000US06037124600,1131.598379,919.2996844,886.6407659,,,,,1219.974284,1014.203746
1400000US06037124700,752.8468782,514.2997296,555.475251,,,,155.6460273,792.7682133,736.3484181
1400000US06037124902,976.245034,747.300075,781.9304444,,,,,838.6453392,981.720335
1400000US06037124903,907.4965449,696.798466,681.1115546,,,,,685.0201288,
1400000US06037125101,300.8960445,592.6245551,580.7282796,,,,,526.8573782,250.7300879
1400000US06037125102,625.0957943,632.5424413,781.1443875,,,,,771.2031993,570.1593184
1400000US06037125200,230.6743544,396.4497074,349.0002998,124.8517564,,,78.0045793,185.4472301,69.83960002
1400000US06037125310,476.4924202,442.6827721,506.1754892,817.6588777,,,727.5459128,536.1405725,604.9253049
1400000US06037125321,969.9398156,1038.977737,932.9489472,841.4401306,,,1006.030841,,
1400000US06037125322,941.4550911,332.9124376,373.0010529,843.8201758,,,382.8108564,101.9565756,294.1246144
1400000US06037125402,474.0141482,753.67715,807.1952909,860.7161865,,,,672.9605678,294.1937202
1400000US06037125403,119.6845553,123.7807307,51.32059972,,,,51.307405,,216.9213902
1400000US06037125404,723.7548667,622.3457485,615.4788562,633.4125705,,,510.4055198,508.7977765,784.8694496
1400000US06037125501,1159.483889,867.4075527,1048.703406,842.6785607,,,921.2628874,,
1400000US06037125502,1050.599533,908.0086938,860.8580484,852.2099827,,,,,1254.14257
1400000US06037125600,1160.58158,927.0053354,965.8713259,,,,,936.5989485,1512.418
1400000US06037127102,480.4542336,750.3966871,742.8364028,746.0083757,,,769.6149041,,707.2645191
1400000US06037127103,1008.671287,794.1713076,760.7000412,1148.900981,,,,,1106.015366
1400000US06037127104,531.901029,102.5807161,414.0282212,824.2537695,,,,48.82512564,459.4892065
1400000US06037127210,1217.788116,805.5307173,546.2992478,518.9543258,,,406.0754576,1131.801939,609.4887067
1400000US06037127220,1032.320785,849.4351905,795.1884169,871.3832634,,,915.6388348,936.1151137,1097.072415
1400000US06037127300,1218.930735,756.0631151,418.3360941,302.1541033,,,,813.4767061,723.6565174
1400000US06037127400,1394.656745,997.0010656,1037.906201,1261.416379,,,1545.257494,1342.587294,1045.191489
1400000US06037127520,163.6539981,536.2236204,655.1083259,485.0366904,,,519.7360545,161.0910173,268.4969931
1400000US06037127603,713.4626786,283.5386438,,334.6139079,,,937.6987739,963.4771883,733.9400766
1400000US06037127604,793.0524839,814.4221388,749.1866557,568.5856032,,,,1281.130978,1013.739843
1400000US06037127605,257.7125563,148.2897593,212.4548089,45.76182351,,,,,246.7887048
1400000US06037127606,543.3572548,857.9578874,133.9918948,,,,,,791.5821358
1400000US06037127711,553.2216366,609.3011625,508.2660483,132.7546762,,,293.6104432,,370.7411381
1400000US06037127712,1376.669379,1546.894021,1650.442113,,,,,1635.784917,1137.976621
1400000US06037127803,828.9380707,424.8874183,437.6556346,358.8417913,,,1010.113087,1123.987458,762.6667058
1400000US06037127804,1496.449293,1312.925669,1273.009361,,,,,1288.601419,1652.929211
1400000US06037127805,936.7298253,475.0037095,734.7636367,459.1042144,,,390.2790745,854.902613,1146.268052
1400000US06037127806,721.2725406,774.7576533,813.0895632,786.2930901,,,808.4397364,755.2524841,732.4056468
1400000US06037127910,262.7183005,322.4314886,336.7890562,184.4223179,,,265.5618218,366.3405445,214.2542473
1400000US06037127920,438.9452626,450.4242064,388.2941897,,,,,,514.489501
1400000US06037128101,616.3091903,572.5329385,673.9925693,,,,,544.4056636,227.8488603
1400000US06037128102,429.6353994,596.3013105,562.1322198,422.0334177,,,814.4110975,652.5317148,520.175426
1400000US06037128210,1144.873258,930.58331,1300.26742,1437.068371,,,988.4905388,1221.544031,1152.096084
1400000US06037128220,1121.960592,971.9230996,746.5671986,,,,,728.3276342,1295.099066
1400000US06037128302,387.2544201,264.8199537,351.3779004,231.639488,,,,654.4754739,190.4841456
1400000US06037128303,928.3527683,1051.496639,1040.436324,666.1379964,,,1061.99615,961.5234072,1000.016805
1400000US06037128400,780.3626813,327.1551143,358.3457812,316.944061,,,221.1723609,,111.0603034
1400000US06037128500,625.4173018,873.0743114,376.336549,,,,,814.0470262,367.6725538
1400000US06037128601,1415.695036,1334.878455,1572.870997,1581.17527,,,,1275.864372,1466.283122
1400000US06037128602,1074.134618,1213.190804,1243.618147,,,,894.0514864,975.3836829,1059.061247
1400000US06037128703,121.8817658,161.2882315,133.1500704,,,,,225.5101388,409.2191624
1400000US06037128704,378.5846551,397.8419017,759.1915404,,,,,,236.9265477
1400000US06037128801,393.0730927,196.0201414,271.3321246,158.8631054,,,,191.5132531,401.6603336
1400000US06037128802,736.7364064,959.9281257,597.9099284,,,,,780.2782472,710.1643877
1400000US06037128910,295.0754394,189.3422122,92.89065303,,,,,197.3133364,107.6625535
1400000US06037131021,1518.969242,1207.231032,1457.143756,,,,,1680.482305,1528.921764
1400000US06037131022,1911.147106,,2012.684852,,,,,1680.92717,1929.354919
1400000US06037131023,1365.843694,1247.639222,993.810886,,,,,923.3820221,1215.207953
1400000US06037131024,454.7710167,970.9957911,814.6650721,965.2337508,,,188.0501627,862.2100136,236.7750613
1400000US06037131100,1604.470092,952.2183975,1703.419297,,,,,1803.292197,1744.601733
1400000US06037131200,1625.133805,883.5903011,,,,,,940.1598732,1739.442546
1400000US06037131300,1677.506884,1238.191882,1016.675311,,,,,,2133.443899
1400000US06037131400,1861.830086,1610.012991,1870.277129,,,,1829.685326,1859.982107,1961.483065
1400000US06037131600,1529.831444,1738.997451,1377.908935,,,,,1795.457257,1533.559048
1400000US06037131701,1245.234857,1015.933551,1041.732767,,,,,1460.677453,1321.56146
1400000US06037131702,1153.919537,872.4401828,968.3372416,,,,,1546.460016,1055.340142
1400000US06037131801,1349.376848,1254.535552,1300.835999,,,,1507.175299,1115.204539,1095.813399
1400000US06037131802,705.9867204,897.5021378,511.9607358,,,,,696.8994174,
1400000US06037131900,545.5383618,640.4529872,325.8661787,,,,,109.5767778,473.9901731
1400000US06037132001,395.7210208,635.4959792,504.3468833,,,,,543.005535,532.5092394
1400000US06037132002,241.7955217,406.0276185,69.85705044,,,,515.9837695,374.5841383,61.40610402
1400000US06037132101,323.506055,124.9427126,142.2466157,64.02643746,,,570.0332878,,509.793433
1400000US06037132102,759.399332,981.78433,1017.562543,738.8239529,,,,872.6525744,831.0548646
1400000US06037132301,426.1703923,1101.715343,987.1505717,926.1325182,,,,1077.436932,758.4738488
1400000US06037132302,641.4225847,543.2990388,710.8385269,591.6188176,,,772.2891605,,
1400000US06037132501,540.2916211,662.3072832,565.6536856,,,,,880.6059348,525.6965889
1400000US06037132502,365.4825808,569.8169935,,,,,,35.22985938,473.7758072
1400000US06037132700,409.7029231,332.5922128,297.7016919,,,,,193.7549831,219.3328469
1400000US06037132900,270.5746041,631.0626506,369.4660949,702.2191041,,,,433.8166645,264.5023461
1400000US06037133000,1060.219165,669.5390964,855.0405673,,,,,1067.563609,1093.803295
1400000US06037133101,691.4508407,754.687299,838.002221,,,,,,674.9150634
1400000US06037133102,356.847048,664.2840531,648.3856021,686.9890024,,,,746.9028419,448.5047674
1400000US06037134001,447.0271719,385.6402396,275.2588174,,,,,,741.4580619
1400000US06037134002,432.4945806,77.38942856,250.3246686,,,,,412.7287427,371.9499129
1400000US06037134101,783.1938124,373.7953342,412.4454857,,,,,,250.5657895
1400000US06037134103,775.3302504,194.7104847,195.6449374,,,,,762.5307651,1027.25196
1400000US06037134104,663.6916434,349.3796298,327.3364651,,,,,774.3069561,613.9047966
1400000US06037134201,1085.384377,1118.424029,746.0442849,679.0464835,,,,,1056.375903
1400000US06037134302,996.5018236,841.2105753,,,,,,,688.9825548
1400000US06037134303,889.3742256,1023.046938,1088.004236,,,,844.7977919,713.7933589,402.8981241
1400000US06037134304,523.0813325,324.7008706,686.55697,,,,,744.7169953,579.9329998
1400000US06037134305,176.6882035,341.0998278,350.3594665,183.9241522,,,270.3733035,122.6055153,325.3480921
1400000US06037134306,496.5761768,740.7131321,617.5768835,411.5099261,,,273.6864561,275.9241683,600.9182264
1400000US06037134421,454.043362,,,,,,,,230.4324018
1400000US06037134422,499.3132996,540.601733,541.0049581,,,,,595.5912757,484.3735177
1400000US06037134423,559.5887701,396.8231631,350.9004572,,,,,560.6882001,591.9130135
1400000US06037134424,107.4146755,251.3824895,,,,154.9381121,,159.0237942,
1400000US06037134520,1095.598143,1187.898656,1072.230898,738.2339297,,,1188.147268,1025.974282,1136.420055
