TRACT_FIPS,GEOID,FIPS,price_0100,price_0101,price_010C,price_0200,price_0300,price_0400,price_0500,price_010E,price_010D
101110,1400000US06037101110,6037101110,217.9177706589068,171.84131151415633,187.10163805019084,145.71762984637894,121.01315075797176,150.26749509483324,28.481484211115934,,
101122,1400000US06037101122,6037101122,173.69103448275862,141.77583065126845,,143.24198861515492,121.73805460750852,,182.87763334827432,,
101220,1400000US06037101220,6037101220,197.4303586321935,118.43101394058183,131.80857518386637,172.06477732793522,126.05781838892952,88.75060273238682,74.75588235294117,,
101221,1400000US06037101221,6037101221,214.5142375792812,414.1255320956059,173.408069426888,138.91099965409893,116.47588235294116,121.0490056818182,79.31810533051026,80.7989417989418,
101222,1400000US06037101222,6037101222,206.0005644682115,,127.44353874883288,142.90672727272727,138.13652803254473,192.7724303210992,58.76080685618729,238.9034090909091,182.9761009667025
101300,1400000US06037101300,6037101300,187.05736072323,170.24852071005918,223.31221951357492,107.75761772853186,55.29608524387005,,,,
101400,1400000US06037101400,6037101400,190.2896551724138,146.4837162597801,219.0475935828877,140.95011330517684,128.5834326579261,80.90950636146762,33.911425265753635,,
102103,1400000US06037102103,6037102103,190.2991990846682,191.6803512022452,105.24529914529914,,,,37.84817986224424,,
102104,1400000US06037102104,6037102104,161.6164325244785,168.41677719075022,203.921875,,,,,,
102105,1400000US06037102105,6037102105,139.44953416149067,131.58931185944363,,102.34495192307692,204.7275675675676,74.43346817292355,44.88613462313583,,
102107,1400000US06037102107,6037102107,187.0691504374824,159.7120733249052,162.2382133995037,143.40345927379784,68.9546173296466,,30.565714813352272,,
103101,1400000US06037103101,6037103101,188.0019532524118,163.8228432624449,123.228880866426,262.2218100890208,,,,,
103102,1400000US06037103102,6037103102,207.4503712281042,169.045268250472,162.6711012564671,111.37277964474316,227.35374493927125,274.78454773869345,48.62854384954306,,
103201,1400000US06037103201,6037103201,187.9161750821018,171.83806228373703,,217.77777777777777,67.7788233704689,44.11651305236828,27.473329468038845,,
103202,1400000US06037103202,6037103202,145.5819070314912,160.00817160367723,,144.05471701796387,130.5858348968105,,,,
103300,1400000US06037103300,6037103300,183.53175675675675,171.3143299821007,,162.28698136597575,112.31198347107438,195.88656241798037,323.71049983227107,,123.56776292013012
103401,1400000US06037103401,6037103401,197.0885947046843,161.8418770424022,158.31652443754848,252.0237037037037,88.3332668329177,161.7207843137255,168.6653206396748,,
103402,1400000US06037103402,6037103402,197.7510917030568,120.5390841005074,211.03091140854048,88.46370683579985,123.96190130624092,174.96296296296296,49.62810347068764,,
104103,1400000US06037104103,6037104103,118.51725589225587,104.70351607522458,,,,,,,106.05982905982906
104105,1400000US06037104105,6037104105,82.53111587982832,176.23838537699925,67.06096361848574,83.75744265495364,,,148.80850695505185,,80.90984126984127
